Trial	StimName	Bid	RT
1	CrunchBisquitBrown3.bmp	8.08888888889	10360
2	Twix.bmp	2.73333333333	4219
3	ClickXLbrown4.bmp	5.88888888889	13365
4	Halva2.bmp	2.71111111111	3203
5	Popco.bmp	1.77777777778	4839
6	BisliOnion.bmp	3.88888888889	4419
7	ChocolateParaMarir2.bmp	3.82222222222	5140
8	DoritosGrill.bmp	3.68888888889	4053
9	WerthersOriginal.bmp	4.95555555556	4323
10	BisliGrill.bmp	3.95555555556	4889
11	KifkefMaklot2.bmp	4.84444444444	9693
12	ChocolateParaSucariotKoftzot2.bmp	3.82222222222	4323
13	SkittlesFruits2.bmp	4.88888888889	5654
14	Mentos.bmp	2.68888888889	3456
15	KinderBuenoWhite2.bmp	8.11111111111	6124
16	ClickBisquit2.bmp	7.08888888889	4503
17	KinderBuenoBrown3.bmp	8.06666666667	4470
18	BisliBbq.bmp	2.71111111111	3286
19	Snickers.bmp	3.82222222222	3738
20	Taami.bmp	3.46666666667	8075
21	Mekupelet.bmp	6.93333333333	2721
22	Shugi.bmp	6.42222222222	6224
23	Loacker.bmp	6.0	5891
24	DoritosSourSpicy.bmp	3.71111111111	5674
25	GumiWine2.bmp	3.82222222222	6991
26	KinderJoy.bmp	9.0	4922
27	ChocolateParaCookies5.bmp	5.02222222222	3938
28	ClickBlackWhite3.bmp	5.82222222222	3152
29	SkittlesSour4.bmp	4.95555555556	6856
30	Cheetos.bmp	4.44444444444	3954
31	BisliPizza3.bmp	4.55555555556	3352
32	HappyHippo.bmp	7.62222222222	9843
33	CrunchShokoVanil.bmp	5.77777777778	6541
34	ChocolateParaMilk3.bmp	3.68888888889	4472
35	Hit.bmp	4.8	6240
36	Egozi.bmp	4.15555555556	4323
37	PesekZman.bmp	5.4	7124
38	HispusimShatiah.bmp	2.22222222222	3754
39	GumiSnakes3.bmp	3.68888888889	4205
40	CrunchBisquitWhite2.bmp	8.24444444444	5039
41	ClickBalls5.bmp	6.22222222222	3955
42	Tortit.bmp	3.46666666667	4388
43	BambaSweet.bmp	0.688888888889	4988
44	BagaleShtuhim.bmp	4.42222222222	3891
45	KashitSour.bmp	2.93333333333	3989
46	Smarties.bmp	5.35555555556	13430
47	Tictac.bmp	3.95555555556	4719
48	ClickXLwhite4.bmp	6.04444444444	7842
49	DoritosNatural.bmp	3.84444444444	4388
50	BabyDoll.bmp	5.46666666667	6006
51	Tapuchips.bmp	2.82222222222	2487
52	Apropo.bmp	5.6	2938
53	Bounty.bmp	1.62222222222	3938
54	Mars.bmp	2.8	3402
55	Dubonim.bmp	4.95555555556	5006
56	Kitkat.bmp	4.93333333333	6575
57	Keifli.bmp	3.62222222222	5221
58	BambaNugat.bmp	3.86666666667	2904
59	Twist.bmp	4.57777777778	5489
60	Bamba.bmp	3.77777777778	4271
